id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2021-537813,2021-08-17,000001,Vente,155300,,,BARRAIL DE NADAU,B010,33230,33001,Abzac,33,,,33001000ZI0006,,,,,,,,,,,,,0,,,,,TP,terres plantées,JOUAL,Joualle,887,-0.127915,45.011254
2021-537813,2021-08-17,000001,Vente,155300,,,BARRAIL DE NADAU,B010,33230,33001,Abzac,33,,,33001000ZI0006,,,,,,,,,,,,,0,,,,,P,prés,,,189,-0.127915,45.011254
2021-537813,2021-08-17,000001,Vente,155300,,,BARRAIL DE NADAU,B010,33230,33001,Abzac,33,,,33001000ZI0006,,,,,,,,,,,,,0,,,,,T,terres,,,189,-0.127915,45.011254
2021-537813,2021-08-17,000001,Vente,155300,,,BARRAIL DE NADAU,B010,33230,33001,Abzac,33,,,33001000ZI0007,,,,,,,,,,,,,0,,,,,T,terres,,,440,-0.127918,45.011003
2021-537813,2021-08-17,000001,Vente,155300,,,BARRAIL DE NADAU,B010,33230,33001,Abzac,33,,,33001000ZI0007,,,,,,,,,,,,,0,,,,,P,prés,,,85,-0.127918,45.011003
2021-537813,2021-08-17,000001,Vente,155300,376,,BARRAIL DE NADAU,B010,33230,33001,Abzac,33,,,33001000ZI0008,,,,,,,,,,,,,0,1,Maison,54,3,J,jardins,,,602,-0.12793,45.010741
2021-537813,2021-08-17,000001,Vente,155300,376,,BARRAIL DE NADAU,B010,33230,33001,Abzac,33,,,33001000ZI0008,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,719,-0.12793,45.010741
2021-537813,2021-08-17,000001,Vente,155300,376,,BARRAIL DE NADAU,B010,33230,33001,Abzac,33,,,33001000ZI0008,,,,,,,,,,,,,0,1,Maison,54,3,S,sols,,,719,-0.12793,45.010741
2021-537813,2021-08-17,000001,Vente,155300,376,,BARRAIL DE NADAU,B010,33230,33001,Abzac,33,,,33001000ZI0008,,,,,,,,,,,,,0,3,Dépendance,,0,J,jardins,,,602,-0.12793,45.010741
2021-537813,2021-08-17,000001,Vente,155300,,,BARRAIL DE NADAU,B010,33230,33001,Abzac,33,,,33001000ZI0009,,,,,,,,,,,,,0,,,,,S,sols,,,360,-0.127739,45.01072
2021-537813,2021-08-17,000001,Vente,155300,,,BARRAIL DE NADAU,B010,33230,33001,Abzac,33,,,33001000ZI0010,,,,,,,,,,,,,0,,,,,T,terres,,,46,-0.127983,45.010537
2021-538235,2021-08-16,000002,Vente,330000,54,,PETIT SORILLON,B122,33230,33001,Abzac,33,,,33001000ZI0113,,,,,,,,,,,,,0,1,Maison,205,5,S,sols,,,2300,-0.119285,45.001954
2021-538235,2021-08-16,000002,Vente,330000,,,PETIT SORILLON,B122,33230,33001,Abzac,33,,,33001000ZI0117,,,,,,,,,,,,,0,,,,,P,prés,,,8707,-0.11864,45.002001
2021-538235,2021-08-16,000002,Vente,330000,,,PETIT SORILLON,B122,33230,33001,Abzac,33,,,33001000ZI0118,,,,,,,,,,,,,0,,,,,P,prés,,,594,-0.118948,45.002361
2021-538235,2021-08-16,000002,Vente,330000,,,PETIT SORILLON,B122,33230,33001,Abzac,33,,,33001000ZI0253,,,,,,,,,,,,,0,,,,,T,terres,,,2514,-0.117955,45.003216
2021-538235,2021-08-16,000002,Vente,330000,,,PETIT SORILLON,B122,33230,33001,Abzac,33,,,33001000ZI0415,,,,,,,,,,,,,0,,,,,P,prés,,,874,-0.119073,45.002542
2021-538687,2021-08-20,000001,Vente,35000,,,PENOT,B117,33230,33001,Abzac,33,,,33001000ZH0135,,,,,,,,,,,,,0,,,,,L,landes,FRICH,Friche,3630,-0.092879,45.015236
2021-538837,2021-09-14,000001,Vente,245000,,,GRAND PIRON,B083,33230,33001,Abzac,33,,,33001000ZI0128,,,,,,,,,,,,,0,,,,,S,sols,,,180,-0.135331,45.005665
2021-538837,2021-09-14,000001,Vente,245000,,,GRAND PIRON,B083,33230,33001,Abzac,33,,,33001000ZI0128,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,,,1063,-0.135331,45.005665
2021-538837,2021-09-14,000001,Vente,245000,18,B,GRAND PIRON,B083,33230,33001,Abzac,33,,,33001000ZI0129,,,,,,,,,,,,,0,1,Maison,108,5,S,sols,,,623,-0.135882,45.005713
2021-538837,2021-09-14,000001,Vente,245000,18,B,GRAND PIRON,B083,33230,33001,Abzac,33,,,33001000ZI0129,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,623,-0.135882,45.005713
2021-538837,2021-09-14,000001,Vente,245000,,,GRAND PIRON,B083,33230,33001,Abzac,33,,,33001000ZI0130,,,,,,,,,,,,,0,,,,,S,sols,,,319,-0.136281,45.005813
2021-539704,2021-09-10,000001,Vente,6000,,,BOTHEREAU,B034,33230,33001,Abzac,33,,,33001000AB0285,,,,,,,,,,,,,0,,,,,J,jardins,,,152,-0.126063,45.014495
2021-539704,2021-09-10,000001,Vente,6000,,,BOTHEREAU,B034,33230,33001,Abzac,33,,,33001000AB0286,,,,,,,,,,,,,0,,,,,J,jardins,,,222,,
2021-539751,2021-10-04,000001,Vente,267850,16,,RUE JULES FERRY,0080,33230,33001,Abzac,33,,,33001000AB0277,,,,,,,,,,,,,0,1,Maison,75,2,S,sols,,,339,-0.12707,45.014608
2021-539751,2021-10-04,000001,Vente,267850,,,RUE AVITIACUS,0010,33230,33001,Abzac,33,,,33001000AB0712,,,,,,,,,,,,,0,,,,,S,sols,,,20,-0.126922,45.014603
2021-540662,2021-09-24,000001,Vente,43000,,,AU FONDREAU EST,B070,33230,33001,Abzac,33,,,33001000ZM0431,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1372,-0.128706,44.997243
2021-542506,2021-09-03,000002,Vente,60000,21,A,PORT DU MAS,B127,33230,33001,Abzac,33,,,33001000ZA0069,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,22,-0.100188,45.01604
2021-542506,2021-09-03,000002,Vente,60000,,,PORT DU MAS,B127,33230,33001,Abzac,33,,,33001000ZA0074,,,,,,,,,,,,,0,,,,,P,prés,,,227,-0.100246,45.016481
2021-542506,2021-09-03,000002,Vente,60000,21,,PORT DU MAS,B127,33230,33001,Abzac,33,,,33001000ZA0253,,,,,,,,,,,,,0,3,Dépendance,,0,,,,,,-0.100269,45.016312
